pw0	pw1	weight	features
Ribosome PAO1	Ribosome, bacteria	17	17.0 46.0 65.0 76.0 78.0 79.0 94.0 136.0 140.0 150.0 156.0 163.0 180.0 183.0 199.0 204.0 216.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	15	16.0 34.0 45.0 67.0 77.0 101.0 117.0 122.0 158.0 200.0 210.0 226.0 241.0 257.0 276.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	13	16.0 25.0 35.0 42.0 63.0 70.0 75.0 121.0 162.0 164.0 231.0 240.0 253.0
Quorum sensing PAO1	Type VI secretion system	12	14.0 16.0 35.0 40.0 42.0 53.0 63.0 70.0 164.0 186.0 205.0 231.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	10	2.0 4.0 9.0 118.0 154.0 221.0 246.0 251.0 279.0 283.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	7	30.0 38.0 53.0 64.0 79.0 215.0 249.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	7	7.0 16.0 63.0 119.0 166.0 186.0 257.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	7	16.0 35.0 42.0 63.0 70.0 164.0 231.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	3.0 28.0 51.0 91.0 221.0 272.0 284.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	6	25.0 35.0 86.0 100.0 197.0 257.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	6	68.0 74.0 100.0 172.0 214.0 263.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	6	78.0 136.0 156.0 163.0 180.0 204.0
Oxidative phosphorylation PAO1	Ribosome PAO1	6	78.0 136.0 156.0 163.0 180.0 204.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	5	10.0 22.0 56.0 149.0 186.0
Iron complex transport system	Zinc transport system	5	74.0 114.0 126.0 144.0 213.0
Pyocyanine biosynthesis, chorismate => pyocyanine	Quorum sensing PAO1	5	7.0 42.0 63.0 164.0 240.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	5	4.0 14.0 162.0 186.0 253.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	4	28.0 87.0 159.0 255.0
Pyocyanine biosynthesis, chorismate => pyocyanine	Type VI secretion system	4	10.0 42.0 63.0 164.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	4	74.0 126.0 144.0 186.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	4	100.0 101.0 134.0 241.0
Cyanoamino acid metabolism PAO1	Pyocyanine biosynthesis, chorismate => pyocyanine	4	42.0 63.0 164.0 240.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	4	4.0 19.0 68.0 145.0
Quorum sensing PAO1	Type III secretion system	4	4.0 75.0 116.0 247.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	4	34.0 75.0 165.0 257.0
Fructose and mannose metabolism PAO1	Quorum sensing PAO1	4	75.0 86.0 166.0 231.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	4	148.0 151.0 152.0 190.0
