pw0	pw1	weight	features
A6B1 A6B4 INTEGRIN	INTEGRIN1	13	26.0 54.0 66.0 68.0 101.0 103.0 116.0 123.0 137.0 139.0 149.0 277.0 284.0
INTEGRIN1	WNT SIGNALING	12	26.0 49.0 54.0 60.0 68.0 71.0 139.0 166.0 207.0 223.0 236.0 284.0
A6B1 A6B4 INTEGRIN	HNF3B	11	7.0 9.0 16.0 27.0 41.0 42.0 103.0 104.0 108.0 128.0 284.0
HNF3A	HNF3B	10	41.0 42.0 73.0 75.0 108.0 147.0 159.0 161.0 256.0 284.0
AVB3 INTEGRIN	INTEGRIN1	10	55.0 60.0 71.0 101.0 122.0 132.0 146.0 207.0 223.0 236.0
E2F	PLK1	8	19.0 29.0 39.0 44.0 59.0 114.0 115.0 158.0
ENDOTHELIN	HNF3B	8	42.0 57.0 83.0 102.0 108.0 154.0 159.0 256.0
BETA CATENIN NUC	FGF	8	62.0 71.0 89.0 97.0 168.0 223.0 233.0 261.0
A6B1 A6B4 INTEGRIN	ERBB NETWORK	8	16.0 42.0 81.0 101.0 108.0 137.0 149.0 285.0
A6B1 A6B4 INTEGRIN	TAP63	8	23.0 26.0 46.0 91.0 104.0 139.0 218.0 255.0
AURORA B	PLK1	8	19.0 29.0 39.0 44.0 59.0 114.0 115.0 158.0
AURORA B	E2F	8	19.0 29.0 39.0 44.0 59.0 114.0 115.0 158.0
A6B1 A6B4 INTEGRIN	WNT SIGNALING	8	26.0 54.0 65.0 68.0 96.0 139.0 284.0 290.0
A6B1 A6B4 INTEGRIN	HNF3A	8	41.0 42.0 81.0 108.0 120.0 183.0 219.0 284.0
BETA CATENIN NUC	WNT SIGNALING	7	49.0 60.0 71.0 177.0 223.0 233.0 261.0
FOXM1	PLK1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
A6B1 A6B4 INTEGRIN	RHOA REG	7	23.0 27.0 96.0 104.0 105.0 134.0 149.0
FGF	WNT SIGNALING	7	26.0 71.0 165.0 207.0 223.0 233.0 261.0
FGF	INTEGRIN1	7	26.0 71.0 89.0 101.0 168.0 207.0 223.0
E2F	FOXM1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
ATR	E2F	7	19.0 29.0 39.0 44.0 78.0 115.0 158.0
A6B1 A6B4 INTEGRIN	P53 DOWNSTREAM	7	1.0 23.0 46.0 68.0 91.0 123.0 149.0
INTEGRIN1	P53 DOWNSTREAM	7	68.0 99.0 123.0 149.0 166.0 192.0 203.0
ATR	PLK1	7	19.0 29.0 39.0 44.0 115.0 158.0 296.0
AVB3 INTEGRIN	WNT SIGNALING	7	60.0 71.0 96.0 207.0 223.0 236.0 261.0
AURORA B	FOXM1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
